str,en,es
affidavit_text_3,"I declare under oath that all information provided is true and consistent with the existing Anti-Money Laundering (AML) and Combating the Financing of Terrorism (CFT) legislation in Mexico.","Declaro, bajo protesta de decir verdad, que los datos asentados son ciertos y son en cumplimiento y para los efectos de la Ley Federal para la Prevención e identificación de Operaciones con Recursos de Procedencia Ilícita y demás normatividad aplicable para la prevención de lavado de dinero y de financiamiento al terrorismo."
affidavit_personal_information,Personal Information,Datos personales
affidavit_full_name,Full name,Nombre Completo
affidavit_address,Address,Dirección
affidavit_curp,CURP or Passport Number,CURP
affidavit_nationality,Nationality,Nacionalidad
affidavit_tax_id,Tax id # / RFC,RFC
affidavit_date,Date,Fecha
affidavit_place,Place,Lugar
file_too_large,The uploaded file(s) is too large,The uploaded file(s) is too large
product_list,Product of list, Lista de productos
cash_out_title,Outgoing Wire Transfer Details,Detalle de la transferencia bancaria saliente
cash_out_subtitle,The account owner must be at your name registered with the external bank.,El titular de la cuenta debe ser a tu nombre como estás registrado en el banco
cash_out_titular,Account owner,Titular de la cuenta
cash_out_banco,Bank’s name,Nombre del banco
cash_out_cuenta,Account number,Número de cuenta bancaria
cash_out_clave,CLABE (México),CLABE interbancaria
cash_out_swift,SWIFT,SWIFT
cash_out_aba,ABA,ABA
cash_out_referencia,Additional references,Referencias adicionales
cash_out_monto,Amount,Monto solicitado
cash_out_saldo,Balance,Saldo
cash_out_inversion,Minimal investment,Inversión mínima
